id,storeName,address1,address2,city,state,postalCode,countryCode,phone
store001,Banaras Sweets,259 Avenue Rd,Anchepet Chickpet,Bengaluru,Karnataka,560002,India,099016 55571
store002,KC Das,38 Church Street,St Marks Road,Bengaluru,Karnataka,560001,India,8025592021
store003,Adyar Ananda Bhavan (A2B),"3, 16th Main Rd, Kuvempu Nagar",BTM Layout,Bengaluru,Karnataka,560029,India,080 4146 6399
store004,Kesar Sweets,"Building No. 1021, 16th Main Road,",BTM Layout,Bengaluru,Karnataka,560029,India,080 2668 6062
